tags,title,idauthor,author
174,['H'],social security investment in equities,p02600,john geanakoplos
174,['H'],social security investment in equities, p04196, peter diamond
175,['L'],on the evolution of the firm size distribution: facts and theory,p02738,jose mata
175,['L'],on the evolution of the firm size distribution: facts and theory, p03264, luis cabral
176,"['O', 'J']",inequality and growth: why differential fertility matters,p01176,david de la croix
176,"['O', 'J']",inequality and growth: why differential fertility matters, p03598, matthias doepke
177,"['J', 'E', 'C']",interpreting aggregate wage growth: the role of labor market participation,p02135,howard reed
177,"['J', 'E', 'C']",interpreting aggregate wage growth: the role of labor market participation, p04486, richard blundell
177,"['J', 'E', 'C']",interpreting aggregate wage growth: the role of labor market participation, p05241, thomas stoker
178,"['H', 'D']",can mandated political representation increase policy influence for disadvantaged minorities? theory and evidence from india,p04636,rohini pande
179,"['L', 'G']",are mergers beneficial to consumers? evidence from the market for bank deposits,p01143,dario focarelli
179,"['L', 'G']",are mergers beneficial to consumers? evidence from the market for bank deposits, p01648, fabio panetta
180,['F'],to float or to fix: evidence on the impact of exchange rate regimes on growth,p01407,eduardo levy-yeyati
180,['F'],to float or to fix: evidence on the impact of exchange rate regimes on growth, p01670, federico sturzenegger
181,"['L', 'D']","network effects, congestion externalities, and air traffic delays: or why not all delays are evil",p00951,christopher mayer
181,"['L', 'D']","network effects, congestion externalities, and air traffic delays: or why not all delays are evil", p05298, todd sinai
182,"['E', 'F', 'C']","international business cycles: world, region, and country-specific factors",p00549,ayhan kose
182,"['E', 'F', 'C']","international business cycles: world, region, and country-specific factors", p00859, charles whiteman
182,"['E', 'F', 'C']","international business cycles: world, region, and country-specific factors", p00954, christopher otrok
183,"['O', 'E']",technological change and the stock market,p01338,dmitriy stolyarov
183,"['O', 'E']",technological change and the stock market, p02622, john laitner
184,"['O', 'F']",plants and productivity in international trade,p00329,andrew bernard
184,"['O', 'F']",plants and productivity in international trade, p00684, bradford jensen
184,"['O', 'F']",plants and productivity in international trade, p02685, jonathan eaton
184,"['O', 'F']",plants and productivity in international trade, p04726, samuel kortum
185,['F'],the economic significance of national border effects,p00799,carolyn evans
186,['J'],is the threat of reemployment services more effective than the services themselves? evidence from random assignment in the ui system,p00703,brett noel
186,['J'],is the threat of reemployment services more effective than the services themselves? evidence from random assignment in the ui system, p01060, dan black
186,['J'],is the threat of reemployment services more effective than the services themselves? evidence from random assignment in the ui system, p02444, jeffrey smith
186,['J'],is the threat of reemployment services more effective than the services themselves? evidence from random assignment in the ui system, p03437, mark berger
187,"['O', 'L', 'D']","information, decisions, and productivity: on-board computers and capacity utilization in trucking",p05214,thomas hubbard
188,"['E', 'D', 'C']",recurrent hyperinflations and learning,p00097,albert marcet
188,"['E', 'D', 'C']",recurrent hyperinflations and learning, p02826, juan nicolini
189,"['J', 'D', 'H']",pension wealth and household saving: evidence from pension reforms in the united kingdom,p04030,orazio attanasio
189,"['J', 'D', 'H']",pension wealth and household saving: evidence from pension reforms in the united kingdom, p05100, susann rohwedder
190,['E'],interactions of commitment and discretion in monetary and fiscal policies,p00541,avinash dixit
190,['E'],interactions of commitment and discretion in monetary and fiscal policies, p03272, luisa lambertini
191,"['O', 'E']","stochastic technical progress, smooth trends, and nearly distinct business cycles",p02866,julio rotemberg
192,"['J', 'K', 'I']","are idle hands the devil's workshop? incapacitation, concentration, and juvenile crime",p00710,brian jacob
192,"['J', 'K', 'I']","are idle hands the devil's workshop? incapacitation, concentration, and juvenile crime", p03096, lars lefgren
193,"['L', 'E', 'C']",a reconsideration of hedonic price indexes with an application to pc's,p00463,ariel pakes
194,['Q'],"valuing biodiversity from an economic perspective: a unified economic, ecological, and genetic approach",p00259,anastasios xepapadeas
194,['Q'],"valuing biodiversity from an economic perspective: a unified economic, ecological, and genetic approach", p05482, william brock
195,"['N', 'G']","fundamentals, panics, and bank distress during the depression",p00838,charles calomiris
195,"['N', 'G']","fundamentals, panics, and bank distress during the depression", p02772, joseph mason
196,"['N', 'H', 'R']",assessing the importance of tiebout sorting: local heterogeneity from 1850 to 1990,p03042,koleman strumpf
196,"['N', 'H', 'R']",assessing the importance of tiebout sorting: local heterogeneity from 1850 to 1990, p04160, paul rhode
197,['F'],inefficient foreign borrowing: a dual- and common-agency perspective,p02392,jean tirole
198,"['L', 'G']",price ceilings as focal points for tacit collusion: evidence from credit cards,p00949,christopher knittel
198,"['L', 'G']",price ceilings as focal points for tacit collusion: evidence from credit cards, p05415, victor stango
199,"['O', 'G']",kin groups and reciprocity: a model of credit transactions in ghana,p01459,eliana la ferrara
200,"['H', 'E', 'D']",constitutional rules and fiscal policy outcomes,p01991,guido tabellini
200,"['H', 'E', 'D']",constitutional rules and fiscal policy outcomes, p05338, torsten persson
201,['G'],bidder discounts and target premia in takeovers,p00681,boyan jovanovic
201,['G'],bidder discounts and target premia in takeovers, p04827, serguey braguinsky
202,['D'],costly voting,p05253,tilman borgers
203,['F'],factor proportions and the structure of commodity trade,p02645,john romalis
204,['F'],do we really know that the wto increases trade?,p00357,andrew rose
205,"['O', 'J', 'K']",do police reduce crime? estimates using the allocation of police forces after a terrorist attack,p01584,ernesto schargrodsky
205,"['O', 'J', 'K']",do police reduce crime? estimates using the allocation of police forces after a terrorist attack, p04366, rafael di tella
206,"['L', 'D', 'F']",dynamic pricing in the presence of antidumping policy: theory and evidence,p00729,bruce blonigen
206,"['L', 'D', 'F']",dynamic pricing in the presence of antidumping policy: theory and evidence, p02421, jee-hyeong park
207,"['J', 'K', 'I']","the effect of education on crime: evidence from prison inmates, arrests, and self-reports",p01508,enrico moretti
207,"['J', 'K', 'I']","the effect of education on crime: evidence from prison inmates, arrests, and self-reports", p03085, lance lochner
208,['E'],testing for indeterminacy: an application to u.s. monetary policy,p01777,frank schorfheide
208,['E'],testing for indeterminacy: an application to u.s. monetary policy, p05221, thomas lubik
209,['J'],internet job search and unemployment durations,p03772,mikal skuterud
209,['J'],internet job search and unemployment durations, p04217, peter kuhn
210,"['H', 'R', 'I']","public housing, housing vouchers, and student achievement: evidence from public housing demolitions in chicago",p00710,brian jacob
211,['H'],pareto-efficient international taxation,p01266,david wildasin
211,['H'],pareto-efficient international taxation, p03693, michael keen
212,"['Z', 'J']",the effects of social networks on employment and inequality,p00430,antoni calvo-armengol
212,"['Z', 'J']",the effects of social networks on employment and inequality, p03578, matthew jackson
213,['G'],"liquidity, efficiency, and bank bailouts",p01835,gary gorton
213,['G'],"liquidity, efficiency, and bank bailouts", p03212, lixin huang
214,['D'],distinguishing informational cascades from herd behavior in the laboratory,p00677,bogachan celen
214,['D'],distinguishing informational cascades from herd behavior in the laboratory, p04840, shachar kariv
215,"['J', 'D']",referrals,p03268,luis garicano
215,"['J', 'D']",referrals, p05142, tano santos
216,"['O', 'Z', 'D']",the role of social capital in financial development,p03256,luigi guiso
216,"['O', 'Z', 'D']",the role of social capital in financial development, p03261, luigi zingales
216,"['O', 'Z', 'D']",the role of social capital in financial development, p04075, paola spienza
217,"['G', 'D']",irreversible decisions and record-setting news principles,p05112,svetlana boyarchenko
218,['G'],in-kind finance: a theory of trade credit,p03773,mike burkart
218,['G'],in-kind finance: a theory of trade credit, p05336, tore ellingsen
219,"['R', 'I']",what's in a grade? school report cards and the housing market,p01188,david figlio
219,"['R', 'I']",what's in a grade? school report cards and the housing market, p03615, maurice lucas
220,"['O', 'F', 'P']",does foreign direct investment increase the productivity of domestic firms? in search of spillovers through backward linkages,p00580,beata smarzynska javorcik
221,['D'],pareto-improving campaign finance policy,p05015,stephen coate
222,"['L', 'J', 'R', 'D']","workers' education, spillovers, and productivity: evidence from plant-level production functions",p01508,enrico moretti
223,"['O', 'K']",efficient patent pools,p02392,jean tirole
223,"['O', 'K']",efficient patent pools, p02788, josh lerner
